setting,feature_a,feature_b,k,metric,n_queries,value_a,value_b,diff_a_minus_b,bootstrap_95ci_low,bootstrap_95ci_high,paired_permutation_p_two_sided
global_all_348_cross_gene,wt_mut_site,wt_site,1,accuracy,348,0.6695402298850575,0.6580459770114943,0.011494252873563204,-0.020186781609195455,0.0431034482758621,0.5952023988005997
global_all_348_cross_gene,wt_mut_site,wt_site,1,balanced_accuracy,348,0.6752587991718426,0.662008281573499,0.013250517598343614,-0.02086830063077569,0.04596094389844391,0.4447776111944028
global_all_348_cross_gene,wt_mut_site,wt_site,1,roc_auc,348,0.6752587991718426,0.6620082815734989,0.013250517598343725,-0.020868300630775695,0.045960943898443796,0.4447776111944028
global_all_348_cross_gene,wt_mut_site,wt_site,1,gof_f1,348,0.627831715210356,0.6123778501628665,0.015453865047489468,-0.021958545795270255,0.052054270393710605,0.424287856071964
global_all_348_cross_gene,wt_mut_site,wt_site,3,accuracy,348,0.6206896551724138,0.6005747126436781,0.02011494252873569,-0.008620689655172376,0.048850574712643646,0.2463768115942029
global_all_348_cross_gene,wt_mut_site,wt_site,3,balanced_accuracy,348,0.6372670807453416,0.611904761904762,0.0253623188405796,-0.004098942179884754,0.054538901743254035,0.0944527736131934
global_all_348_cross_gene,wt_mut_site,wt_site,3,roc_auc,348,0.6834368530020705,0.6579710144927535,0.02546583850931694,-0.0020217994586201214,0.05163008305259734,0.05747126436781609
global_all_348_cross_gene,wt_mut_site,wt_site,3,gof_f1,348,0.6,0.5696594427244582,0.030340557275541746,-0.00028889194354788923,0.06119429973799065,0.0559720139930035
global_all_348_cross_gene,wt_mut_site,wt_site,5,accuracy,348,0.6379310344827587,0.6149425287356322,0.02298850574712652,-0.011494252873563315,0.06034482758620685,0.26686656671664166
global_all_348_cross_gene,wt_mut_site,wt_site,5,balanced_accuracy,348,0.65527950310559,0.6337474120082816,0.02153209109730847,-0.013833460754332208,0.057730576400619016,0.25837081459270367
global_all_348_cross_gene,wt_mut_site,wt_site,5,roc_auc,348,0.6849033816425121,0.6556590752242926,0.029244306418219512,0.0023867441860234485,0.05625668497250476,0.041979010494752625
global_all_348_cross_gene,wt_mut_site,wt_site,5,gof_f1,348,0.6181818181818182,0.5988023952095808,0.01937942297223738,-0.015125220505291494,0.05554872769064391,0.3053473263368316
heldout_SCN1A,wt_mut_site,wt_site,1,accuracy,61,0.7377049180327869,0.7213114754098361,0.016393442622950838,-0.049180327868852514,0.08196721311475419,1.0
heldout_SCN1A,wt_mut_site,wt_site,1,balanced_accuracy,61,0.7423469387755102,0.6692176870748299,0.0731292517006803,-0.022222222222222258,0.19999999999999996,0.4492753623188406
heldout_SCN1A,wt_mut_site,wt_site,1,roc_auc,61,0.7423469387755102,0.6692176870748299,0.0731292517006803,-0.022222222222222254,0.19999999999999984,0.4492753623188406
heldout_SCN1A,wt_mut_site,wt_site,1,gof_f1,61,0.5294117647058824,0.45161290322580644,0.07779886148007592,-0.038461538461538436,0.23809523809523808,0.4492753623188406
heldout_SCN1A,wt_mut_site,wt_site,3,accuracy,61,0.6721311475409836,0.639344262295082,0.032786885245901565,-0.032786885245901565,0.09836065573770492,0.6316841579210395
heldout_SCN1A,wt_mut_site,wt_site,3,balanced_accuracy,61,0.7644557823129252,0.6811224489795918,0.08333333333333337,-0.010000000000000009,0.20833333333333337,0.37631184407796103
heldout_SCN1A,wt_mut_site,wt_site,3,roc_auc,61,0.78656462585034,0.7363945578231292,0.0501700680272108,-0.07399373840445274,0.18633688114820185,0.49725137431284355
heldout_SCN1A,wt_mut_site,wt_site,3,gof_f1,61,0.5238095238095238,0.45,0.07380952380952382,-0.013335365853658621,0.1923076923076923,0.37631184407796103
heldout_SCN1A,wt_mut_site,wt_site,5,accuracy,61,0.6229508196721312,0.5901639344262295,0.032786885245901676,-0.06557377049180324,0.11516393442622734,0.7311344327836082
heldout_SCN1A,wt_mut_site,wt_site,5,balanced_accuracy,61,0.7023809523809523,0.6505102040816326,0.0518707482993197,-0.03191489361702127,0.1580531609195403,0.5077461269365318
heldout_SCN1A,wt_mut_site,wt_site,5,roc_auc,61,0.7899659863945578,0.7066326530612245,0.08333333333333337,0.001818181818181938,0.18189102564102555,0.07796101949025487
heldout_SCN1A,wt_mut_site,wt_site,5,gof_f1,61,0.46511627906976744,0.4186046511627907,0.046511627906976716,-0.03326127124907613,0.14685686653771754,0.5077461269365318
